# internal/templates/shipped.txt — the shipped-version manifest.
#
# Every version of every built-in template that a vp binary could ever have
# written into a vault's Templates/, one row per (version, relpath), in
# sha256sum format: "<ProvenanceKey>  <relpath under internal/templates/templates/>".
# `vp config sync` prunes a vault Templates/ copy whose bytes, line endings
# aside, match a row for its own relpath: those bytes are vp-shipped, and
# recoverable from vibe-palace's git history. The current embedded copy is
# matched live (templates.EmbeddedSHA) and is not a row.
#
# FROZEN. It is never regenerated, and a template edit needs nothing beyond
# the Go-embedded copy. A change to this file is a deliberate, reviewed edit
# that updates frozenManifestSHA256 (shipped_test.go) in the same commit.
#
# The boundary is 1f3bb62: the last commit on main before a4179a5 removed the
# last writer of template bytes into a vault (the upgrade commands' reset).
# The writers were TemplateTree materialize (7e5b96d..807bae7), config sync's
# `o`/--yes overwrite (until 5aa68ee), `vp commands upgrade` (44df171..a4179a5)
# and `vp skills upgrade` (a7e24c9..a4179a5). After the boundary no vp binary
# writes a template into Templates/, so no later version can reach a vault from
# vp: a copy of one is operator-placed, kept, and reported by vp_check.
#
# Key: sha256 of the bytes after one CRLF->LF pass (templates.ProvenanceKey).
# No row's blob holds a CR, so every row equals a plain sha256sum.
#
# Residuals, all failing toward keep: versions that existed only in
# rebased-away commits, fixups or dirty `make install` builds before the
# boundary; mirrors written by pre-vibe-palace (vibe-vault) binaries, whose
# history starts at f9f5b17; and a built-in later removed from the corpus,
# whose rows are never consulted because the reconcile walks only the current
# relpaths. Rows under old relpaths (commands/vp-*.md) stay: they are part of
# the derivation.
#
# Derivation. Run it once in a full clone with tags fetched (git fetch --tags).
# It fails closed: a revision that does not resolve is a non-zero exit, never
# zero rows. The rows below, with every "#" line stripped, equal its output:
# 174 rows over 46 relpaths. With revs="1f3bb62" alone it yields 172; the two
# rows marked "# extra:" come from the tag pre-rebase-501c96e, whose commit is
# not an ancestor of 1f3bb62 but whose build was installed.
#
#   set -eu -o pipefail
#   revs="1f3bb62 pre-rebase-501c96e"
#   for r in $revs; do git rev-parse -q --verify "$r^{commit}" >/dev/null || { echo "derive: $r does not resolve (git fetch --tags)" >&2; exit 1; }; done
#   git rev-list --full-history $revs -- internal/templates/templates internal/context/templates \
#    | while read -r c; do git ls-tree -r "$c" -- internal/templates/templates/ internal/context/templates/ || exit 1; done \
#    | awk '$2=="blob" && $4 ~ /\.md$/ {sub("^internal/(templates|context)/templates/","",$4); print $3" "$4}' | LC_ALL=C sort -u \
#    | while read -r oid rel; do s=$(git cat-file blob "$oid" | sha256sum) || exit 1; printf '%s  %s\n' "${s%% *}" "$rel"; done \
#    | LC_ALL=C sort -k2,2 -k1,1 -u
#
13b6be92cb362231dcff951a72cbd9394d38d4eea832dc92309ef711ee0f256f  commands/cancel-plan.md
306788f868a818f08dbae8a52995d07ea47a97608a06fcf514a74a4d3a73f0c2  commands/cancel-plan.md
5df992680edce89f97ea44d3b8457ac60ef316c10097f961e89889cc44c54d8e  commands/cancel-plan.md
91446292fdbffbfe14d716aee9192b10ffa82491ef9951c77ed5d5582e4a8533  commands/cancel-plan.md
b9c681a449e33bb4582cd1cdc4bef209ab9b64e4450ac18e44b3b22786be62a0  commands/cancel-plan.md
d83afc14a09a089ea953651a0d8960b64a33781541255700c77d48701a280b58  commands/cancel-plan.md
f468f7885ac387032a165083e5d89c4f4916877e4f570e37e2dcd6ef5a8e904a  commands/cancel-plan.md
fc667be07a6ea4ea0d74406320155ac89da47b34cd6c112f4aba79181aa3c964  commands/cancel-plan.md
# extra: tag pre-rebase-501c96e (commit 501c96e, 2026-07-30; on the github remote since 2026-09-11), blob 17505a1e135686913bb14a1e1845fac6b4c89e25
3a237999814fd03956a59518ae505f55b170daa11c774c4074348562b35a1c47  commands/capture.md
4be8c3300be5631a5a3acfce2a1317e8f223710c789af7f18b045619e5021ec5  commands/capture.md
7d77f5d7ef47d559e3f9be1fc1a15b6b5278ae820fff73001230389b0564b125  commands/capture.md
9e3236eb80173e810216dc3bf230ddace16253f48c3153df88e73b9f8158f0a0  commands/capture.md
b693b49ba8bec5d7a66f5810828c394c63412667056946d146216cb6f6358951  commands/capture.md
d49febb762023edd2a115d76c96e039de0d6928c96642cbb5effe93197f5904c  commands/capture.md
4b6025660c750a1db69ceaed9e1cec47de1973984c50503840b2b6fb2b43c9e3  commands/execute-plan.md
881cdb79d07d56c21cc9f075818af4c47a91fd39f7e892280260b857694dd373  commands/execute-plan.md
b23afa4f3d9dc4f1f335c92916ae05e70d7fba7d3dba7b8a412cde3bccb14bbb  commands/execute-plan.md
e649e80c1d4122a9bf1eada582d636b06fe0cf788f5f07875b65749125053995  commands/execute-plan.md
8e8d2dcc7db87202eb90b9f5d769ac29bedb527f049d923a60d1e3f4c2234898  commands/herdr.md
ba221bc0ec926ac6010902ef269632103518d10fb73b0cf7b748e4295ee12448  commands/herdr.md
e125b32a88976f3d6e9c6137fb5a69fbbd44e52bf5720e7999c9d2d86edad329  commands/license.md
74adcd76ada9305453d07bc5e35c2952fb9f8e13b1fb90a25ca86d57ba798ffe  commands/makefile.md
1b3741c91d706a4f4115d63461fd9067db098ec6c175482a4fcb6de630662df3  commands/restart.md
26c7eb31377805d0592b492ae8088614aa00a89260a58c07ee60ddc153df0a8a  commands/restart.md
